canon_smiles,target,label
O=C(CCCc1ccccc1)N(O)CCCP(=O)(O)O,DXR,0
O=CN(O)CCCP(=O)([O-])O,DXR,1
Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,DXR,0
COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1,DXR,1
COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1,DXR,0
COc1ccc(C(CCC(=O)N(C)O)P(=O)(O)O)cc1OC,DXR,0
COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1OC,DXR,0
COc1ccc(C(OCC(=O)N(C)O)P(=O)(O)O)cc1,DXR,1
COc1ccc(C(OCC(=O)NO)P(=O)(O)O)cc1,DXR,0
CN(O)C(=O)CCCC(c1ccccc1)P(=O)(O)O,DXR,0
CN(O)C(=O)CCC(NC(=O)c1ccccc1)P(=O)(O)O,DXR,0
O=C(CCC(NC(=O)c1ccccc1)P(=O)(O)O)NO,DXR,0
O=C(CCC(c1ccccc1)P(=O)(O)O)Nc1ccccc1O,DXR,0
O=P(O)(O)CCC(c1cccc2ccccc12)P(=O)(O)O,DXR,0
CC(CC(=O)N(C)O)CP(=O)(O)O,DXR,1
CN(O)C(=O)CC(CCc1ccccc1)CP(=O)([O-])O,DXR,0
CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O,DXR,1
CN(O)C(=O)CC(CCCCc1ccccc1)CP(=O)([O-])O,DXR,1
O=P(O)(O)C(Nc1nccc2ccccc12)P(=O)(O)O,DXR,0
O=CN(O)CCCP(=O)(O)O,DXR,1
CC(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
CC(=O)N(O)CCCP(=O)(O)O,DXR,1
O=CN(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=c1ccc(-c2ccccc2)cn1O,DXR,0
O=P(O)(O)Cc1ccncc1,DXR,1
O=P(O)(O)Cc1ccccn1,DXR,1
O=P(O)(O)Cc1ccc(-c2ccccc2)cn1,DXR,1
O=P(O)(O)Cc1ccc2ccccc2n1,DXR,1
O=P(O)(O)Cc1cc(Br)ccn1,DXR,0
O=P(O)(O)Cc1cc(-c2ccccc2)ccn1,DXR,1
O=P(O)(O)Cc1ccc(Br)cn1,DXR,0
O=P(O)(O)Cc1ccc(O)cn1,DXR,0
O=P(O)(O)Cc1ccc(-c2ccc(F)cc2)cn1,DXR,0
O=P(O)(O)Cc1ccncn1,DXR,0
CC(=O)N(O)CCCS(=O)(=O)[O-],DXR,0
CC(=O)N(O)CCc1c(C(=O)O)noc1C,DXR,0
O=c1cccc(CCP(=O)(O)O)n1O,DXR,0
O=P(O)(O)CCc1ccc(O)c(O)c1,DXR,0
CN(O)C(=O)CCCP(=O)(O)O,DXR,1
O=C(NCC(=O)N(O)CCCP(=O)(O)O)C1CC1,DXR,0
O=C(CCCOc1ccccc1)NCC(=O)N(O)CCCP(=O)(O)O,DXR,0
O=C(C1CC1)N(O)CCCP(=O)(O)O,DXR,0
O=C(c1ccccc1)N(O)CCCP(=O)(O)O,DXR,1
O=C(c1ccc(Cn2cncn2)cc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=C(c1cccc(Cn2cncn2)c1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=C(c1ccccc1Cn1cncn1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=C(c1ccccc1Nc1cccc(C(F)(F)F)c1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=C(c1ccccc1OC(F)(F)F)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
O=C(c1ccccc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O,DXR,1
